Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,11,0.01,0.9099999999999999,0.2119762126690454
100% Corpus,11,0.01,symmetric,0.21098937176741137
100% Corpus,11,0.31,0.01,0.2116316564111562
100% Corpus,11,0.31,0.31,0.23255534333609004
100% Corpus,11,0.31,0.61,0.22170319010089565
100% Corpus,11,0.31,0.9099999999999999,0.21192965060000796
100% Corpus,11,0.31,symmetric,0.21074983376696468
100% Corpus,11,0.61,0.01,0.21241756831337966
100% Corpus,11,0.61,0.31,0.22957166890075842
100% Corpus,11,0.61,0.61,0.2251041996620355
100% Corpus,11,0.61,0.9099999999999999,0.2180262597550226
100% Corpus,11,0.61,symmetric,0.21112517528755703
100% Corpus,11,0.9099999999999999,0.01,0.21165517795728775
100% Corpus,11,0.9099999999999999,0.31,0.22635245977550422
100% Corpus,11,0.9099999999999999,0.61,0.22030980153593369
100% Corpus,11,0.9099999999999999,0.9099999999999999,0.22598107310816504
100% Corpus,11,0.9099999999999999,symmetric,0.21316238535536874
100% Corpus,11,symmetric,0.01,0.2103943145321442
100% Corpus,11,symmetric,0.31,0.2502297944322165
100% Corpus,11,symmetric,0.61,0.22093577925333607
100% Corpus,11,symmetric,0.9099999999999999,0.2119762126690454
100% Corpus,11,symmetric,symmetric,0.21098937176741137
100% Corpus,11,asymmetric,0.01,0.21012264378300632
100% Corpus,11,asymmetric,0.31,0.2475178584230716
100% Corpus,11,asymmetric,0.61,0.22093577925333607
100% Corpus,11,asymmetric,0.9099999999999999,0.2119762126690454
100% Corpus,11,asymmetric,symmetric,0.21098937176741137
100% Corpus,12,0.01,0.01,0.21339926499547943
100% Corpus,12,0.01,0.31,0.23836147071381963
100% Corpus,12,0.01,0.61,0.21213882802214923
100% Corpus,12,0.01,0.9099999999999999,0.21173178736459655
100% Corpus,12,0.01,symmetric,0.21424674924603346
100% Corpus,12,0.31,0.01,0.21166972366201783
100% Corpus,12,0.31,0.31,0.22945510208905515
100% Corpus,12,0.31,0.61,0.21220551742434735
100% Corpus,12,0.31,0.9099999999999999,0.21190554952636975
100% Corpus,12,0.31,symmetric,0.21579005953793573
100% Corpus,12,0.61,0.01,0.21166972366201783
100% Corpus,12,0.61,0.31,0.2381801993677383
100% Corpus,12,0.61,0.61,0.21119588242102028
100% Corpus,12,0.61,0.9099999999999999,0.2189657017996455
100% Corpus,12,0.61,symmetric,0.21245958354509617
100% Corpus,12,0.9099999999999999,0.01,0.21190256249554265
100% Corpus,12,0.9099999999999999,0.31,0.22018711969474766
100% Corpus,12,0.9099999999999999,0.61,0.2207874953466816
100% Corpus,12,0.9099999999999999,0.9099999999999999,0.2296416770968233
100% Corpus,12,0.9099999999999999,symmetric,0.2129585677163904
100% Corpus,12,symmetric,0.01,0.2195186526213112
100% Corpus,12,symmetric,0.31,0.23357134262685653
100% Corpus,12,symmetric,0.61,0.21213882802214923
100% Corpus,12,symmetric,0.9099999999999999,0.21173178736459655
100% Corpus,12,symmetric,symmetric,0.21508863108945453
100% Corpus,12,asymmetric,0.01,0.21287857191030568
100% Corpus,12,asymmetric,0.31,0.2370838354156416
100% Corpus,12,asymmetric,0.61,0.21213882802214923
100% Corpus,12,asymmetric,0.9099999999999999,0.21173178736459655
100% Corpus,12,asymmetric,symmetric,0.2161646003981206
100% Corpus,13,0.01,0.01,0.2200067977822989
100% Corpus,13,0.01,0.31,0.22686506996522762
100% Corpus,13,0.01,0.61,0.2110545946347335
100% Corpus,13,0.01,0.9099999999999999,0.21111047771529262
100% Corpus,13,0.01,symmetric,0.21200616297557864
100% Corpus,13,0.31,0.01,0.21071115544287558
100% Corpus,13,0.31,0.31,0.22538027469970331
100% Corpus,13,0.31,0.61,0.21105536520003934
100% Corpus,13,0.31,0.9099999999999999,0.21127087355692944
100% Corpus,13,0.31,symmetric,0.22182999455849778
100% Corpus,13,0.61,0.01,0.21134047543144843
100% Corpus,13,0.61,0.31,0.21823119007493771
100% Corpus,13,0.61,0.61,0.21059840126533907
100% Corpus,13,0.61,0.9099999999999999,0.21862078671859622
100% Corpus,13,0.61,symmetric,0.21227767965537858
100% Corpus,13,0.9099999999999999,0.01,0.21139434675642857
100% Corpus,13,0.9099999999999999,0.31,0.21888393696946887
100% Corpus,13,0.9099999999999999,0.61,0.21424071009430842
100% Corpus,13,0.9099999999999999,0.9099999999999999,0.22600445242690126
100% Corpus,13,0.9099999999999999,symmetric,0.2123426327293888
100% Corpus,13,symmetric,0.01,0.21090629774022668
100% Corpus,13,symmetric,0.31,0.22494209967298154
100% Corpus,13,symmetric,0.61,0.21142216046724047
100% Corpus,13,symmetric,0.9099999999999999,0.21111047771529262
100% Corpus,13,symmetric,symmetric,0.21200616297557864
100% Corpus,13,asymmetric,0.01,0.21681637858943537
100% Corpus,13,asymmetric,0.31,0.22960829782424164
100% Corpus,13,asymmetric,0.61,0.2107513417085263
